Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,50,17.2%,0.4608,0.1734,0.2506,0.2625,0.3082,0.2506,0.3422,0.2818,0.1813,-0.26,-0.08,-0.02,0.10,0.36,0.01,-0.46,0.17
1,52,17.9%,0.2054,0.1217,0.2429,0.2374,0.2742,0.2473,0.3031,0.2585,0.1641,-0.42,-0.27,-0.23,-0.01,0.06,0.22,-0.03,-0.09
2,78,26.9%,0.2644,0.0947,0.2290,0.2003,0.2487,0.2213,0.2547,0.2262,0.1005,-0.00,-0.12,-0.11,-0.19,-0.13,0.05,0.10,-0.10
3,56,19.3%,0.2388,0.1580,0.1797,0.1705,0.1803,0.1803,0.2159,0.1829,0.0891,0.10,0.12,0.14,0.08,0.03,-0.06,0.18,-0.01
4,54,18.6%,0.3192,0.1518,0.2135,0.1941,0.2135,0.1879,0.2245,0.2035,0.2414,0.55,0.38,0.25,0.10,-0.23,-0.22,0.12,0.08
