Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,64,21.1%,0.1504,0.0935,0.1565,0.1658,0.1755,0.1815,0.2068,0.1772,0.1044,0.15,0.09,0.07,-0.08,0.03,-0.06,-0.07,0.27
1,28,9.2%,0.2654,0.1691,0.2485,0.2451,0.3022,0.2952,0.2769,0.2730,0.7478,1.38,1.40,1.28,0.76,0.71,0.01,0.31,-0.14
2,40,13.2%,0.2397,0.1397,0.2615,0.2876,0.2668,0.2981,0.2910,0.2838,0.3660,-0.49,-0.64,-0.66,-0.33,-0.49,0.15,0.16,-0.01
3,56,18.5%,0.2823,0.1109,0.2043,0.2209,0.2207,0.2101,0.2613,0.2240,0.2422,-0.50,-0.35,-0.29,-0.24,-0.04,-0.04,-0.30,-0.19
4,22,7.3%,0.3045,0.1428,0.2811,0.2726,0.3215,0.3005,0.3798,0.3072,0.4837,0.61,0.82,0.88,0.34,0.74,-0.15,-0.13,-0.19
5,45,14.9%,0.2298,0.1181,0.2527,0.1948,0.2218,0.2013,0.2385,0.2139,0.2802,-0.02,-0.22,-0.28,0.06,-0.52,-0.14,0.51,-0.49
6,48,15.8%,0.1699,0.2630,0.2348,0.2348,0.2620,0.2436,0.3009,0.2533,0.2095,-0.28,-0.18,-0.10,0.00,0.16,0.19,-0.28,0.50
