Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,23,10.6%,0.6784,0.2001,0.2302,0.2330,0.2269,0.2286,0.2799,0.2384,0.3356,0.19,0.34,0.46,0.30,0.70,0.10,0.31,-0.28
1,35,16.1%,0.1926,0.1115,0.1691,0.1754,0.1811,0.1735,0.2027,0.1802,0.2293,0.32,0.27,0.23,-0.02,-0.04,-0.51,-0.07,-0.38
2,58,26.7%,0.1314,0.0905,0.2794,0.2017,0.1994,0.1783,0.2123,0.2046,0.1431,0.16,0.13,0.07,-0.22,-0.03,-0.13,-0.14,-0.26
3,64,29.5%,0.1715,0.1786,0.2412,0.2246,0.2345,0.2299,0.2890,0.2399,0.1697,0.03,0.07,0.10,0.17,0.02,0.22,-0.15,0.60
4,15,6.9%,0.2932,0.5623,0.4302,0.4742,0.5234,0.4719,0.6023,0.5017,0.2292,-0.28,0.04,0.20,0.13,0.53,0.22,0.15,-0.28
5,22,10.1%,0.2200,0.1580,0.2571,0.2290,0.2695,0.2447,0.2664,0.2493,0.7388,-1.02,-1.36,-1.44,-0.28,-1.02,0.26,0.49,0.04
