Cluster,Count,Percentage,Color Mean,Texture Mean,Deep_VGG16 Mean,Deep_ResNet50 Mean,Deep_EfficientNet Mean,Deep_MobileNet Mean,Deep_DenseNet Mean,Deep_Combined Mean,Symmetry Mean,Sym 30,Sym 45,Sym 60,Sym 90,Sym 120,Sym 180,Sym h_flip,Sym v_flip
0,58,13.5%,0.2714,0.2924,0.2228,0.2305,0.2555,0.2431,0.3212,0.2528,0.3999,-0.36,-0.44,-0.48,-0.25,-0.52,0.10,-0.21,0.83
1,186,43.2%,0.2731,0.0701,0.1895,0.1817,0.2005,0.1844,0.2822,0.2036,0.0987,-0.23,-0.09,-0.07,-0.07,0.07,0.02,-0.11,-0.12
2,93,21.6%,0.5619,0.1344,0.1679,0.2161,0.2022,0.1949,0.2906,0.2172,0.1201,0.05,-0.02,-0.00,0.18,-0.08,-0.09,0.32,-0.21
3,44,10.2%,0.4489,0.1320,0.2463,0.2478,0.2451,0.2562,0.3048,0.2584,0.5502,1.07,0.87,0.85,0.50,0.70,0.02,0.34,-0.05
4,50,11.6%,0.2729,0.1019,0.3668,0.2619,0.2702,0.2144,0.2406,0.2589,0.1499,0.24,0.15,0.07,-0.23,-0.14,-0.05,-0.23,-0.10
